category,revenue,nb_orders,avg_price
health_beauty,1237439.95,8647,129.99684315579367
watches_gifts,1167246.63,5495,198.88339240074967
bed_bath_table,1037177.6900000001,9272,93.38054290087332
sports_leisure,960189.09,7530,113.10979974084108
computers_accessories,896243.28,6530,116.27442656979761
furniture_decor,718344.78,6307,87.18834567301857
housewares,617836.73,5743,90.60518111159993
cool_stuff,612071.86,3559,164.2264180305876
auto,580263.4400000001,3810,139.5534968734969
toys,472109.78,3804,116.91673600792473
